GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
058N,,-14.5,172,0,Dock,PAGO PAGO AMERICAN SAMOA,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
552,,-14.5,172,0,,AUASI SMALL BOAT HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
058M,,-14.5,172,0,,AUNU'U SMALL BOAT HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
550,,-14.5,172,0,,OFU HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
551,,-14.5,172,0,,TA'U HARBOR,Pago Pago Harbor American Samoa Island AS,Pago Pago Harbor American Samoa Island AS
054Z,,-3.83333,-174,0,,CANTON ISLAND PHOENIX GROUP,Canton Is. Phoenix Group HI,Canton Is. Phoenix Group HI
00CS,,7.41667,-82.8,0,,CHARCO AZUL  (PUERTO ARMUELLES),Alaskan Trans-Shpmt Point-Puerto Armuellas Panama,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama
00CT,,7.41667,-82.8,0,,SPECIAL USE CODE,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama,Alaskan Trans-Shpmt Point-Puerto Armuellas Panama
00P3,,13.451433,144.635721,0,Dock,PORT APRA F-4 F-3,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00P1,,13.451433,144.635721,0,Open Water,APRA HARBOR-OPEN WATER,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00P2,,13.451433,144.635721,0,,COMMERICAL PIER,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00CE,,13.451433,144.635721,0,,GUAM,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
00CD,,13.451433,144.635721,0,,PIER 40,Apra Harbor Guam Island GU,Apra Harbor Guam Island GU
0H8D,,17.693595,-64.762222,0,Dock,MARIETTA HARBOR  ST CROIX,Port Harvey St. Croix Island VI,Port Harvey St. Croix Island VI
0H8C,,17.695818,-64.753056,0,Dock,THIRD PORT NEW CONTAINER DOCK ST CROIX,Port Harvey St. Croix Island VI,Port Harvey St. Croix Island VI
0F15,,17.699984,-64.752778,0,Dock,PORT HESS,Port Hess St. Croix Island VI,Port Hess St. Croix Island VI
0F14,,17.700349,-64.75,0,Dock,HOVIC BERTHS 1-9,Port Hess St. Croix Island VI,Port Hess St. Croix Island VI
0H88,,17.714706,-64.884167,0,Dock,HARBOR DOCK     FREDERIKSTED,Frederiksted St. Croix Island VI,Frederiksted St. Croix Island VI
0H8F,,17.747571,-64.69842,0,Dock,HARBOR DOCK     CHRISTIANSTED,Christiansted St Croix VI,Christiansted St Croix VI
0MWV,,17.747849,-64.698976,0,Dock,GALLOWSBAY HARBOR DOCK,Christiansted St Croix VI,Christiansted St Croix VI
0H8G,,17.751651,-64.714444,0,Dock,V.I. WAPA     CHRISTIANSTED,Christiansted St Croix VI,Christiansted St Croix VI
0F1U,,17.822036,-67.296945,0,Dock,HARBOR DOCK     SALINAS,Salinas Bay PR,Salinas Bay PR
0B2Q,,17.822036,-67.296945,0,Dock,MOLASSES BERTH     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1V,,17.822036,-67.296945,0,Dock,MUNICIPAL PIERS  AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1W,,17.822036,-67.296945,0,Dock,PRWRA BERTH     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0B2R,,17.822036,-67.296945,0,,JOBOS     AGUIRRE,Salinas Bay PR,Salinas Bay PR
0F1M,,17.822038,-66.91628,0,Dock,HARBOR DOCK     GUANICA,Guanica PR,Guanica PR
0F1P,,17.822038,-66.91628,0,Dock,MOLINOS,Guanica PR,Guanica PR
0F1T,,17.822038,-66.91628,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Guanica PR,Guanica PR
0F1S,,17.822038,-66.91628,0,,ESSO TERMINAL,Guanica PR,Guanica PR
0F1R,,17.822038,-66.91628,0,,SUGAR DOCK - GUANICA,Guanica PR,Guanica PR
0F1N,,17.822038,-66.91628,0,,W R GRACE,Guanica PR,Guanica PR
0B4U,,17.822039,-66.779218,0,Dock,COMMONWEALTH OIL REFINING CO.,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4Q,,17.822039,-66.779218,0,Dock,CORCO BERTHS 1-5,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4T,,17.822039,-66.779218,0,Dock,PHILLIPS,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4R,,17.822039,-66.779218,0,Dock,PPG,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4S,,17.822039,-66.779218,0,Dock,PUNTA PIER,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4V,,17.822039,-66.779218,0,Dock,TEXACO TERMINAL,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1L,,17.822039,-66.779218,0,Virtual Dock,FOREIGN TRAFFIC ONLY,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1J,,17.822039,-66.779218,0,,CAYO RIO DOCK,Guayanilla Harbor PR,Guayanilla Harbor PR
0F1K,,17.822039,-66.779218,0,,EFFLUENT CANAL DOCK,Guayanilla Harbor PR,Guayanilla Harbor PR
0B7Z,,17.822039,-66.779218,0,,HERCOR,Guayanilla Harbor PR,Guayanilla Harbor PR
0B4P,,17.822039,-66.779218,0,,PTAGOTAY,Guayanilla Harbor PR,Guayanilla Harbor PR
0B3X,,17.822049,-66.049608,0,Dock,ARROYO HBR     PUERTO RICO,Arroyo Harbor PR,Arroyo Harbor PR
0B3Y,,17.822049,-66.049608,0,Dock,HARBOR DOCK     GUAYAMA,Las Mareas Harbor PR,Las Mareas Harbor PR
0B41,,17.822049,-66.049608,0,Dock,PHILLIPS DOCK     LAS MAREAS,Las Mareas Harbor PR,Las Mareas Harbor PR
0B3Z,,17.822049,-66.049608,0,Dock,PHILLIPS TERMINAL     GUAYAMA,Las Mareas Harbor PR,Las Mareas Harbor PR
0B40,,17.822049,-66.049608,0,,HARBOR DOCK     LAS MAREAS,Las Mareas Harbor PR,Las Mareas Harbor PR
